17340181-1, 5EL9e8FJeTK2NXyEozaqEeswujFn3acRKag7rAhtZpa5Up86, 0x58676b134d3add251190a71a8b9c5f9976d315b5dd1778dd4c35f1b07005dc2e, 17340181, 247000.0, 2022-05-30 16:25:49, staking, bond
17325217-1, 5FR2iLm8Gqcpv3oXyQy6nLZZEbiRUvmC7c1qqQ1rkaaiaiPJ, 0xe56f50431e1f9f638dc5ab971c39a066ec4720f670a7966d1a2997456e6b87ac, 17325217, 94369000.0, 2022-05-30 12:16:22, staking, bond
17313975-1, 5DRs1tavixpsYCB3Dv1xqx7bx8dUYUQWPi8MS1ZBw9hpCVdw, 0x0b3858847100bde7a92f1b42e95e9008b9467c663928b2d3437be0cdb05cacf1, 17313975, 2408000.0, 2022-05-30 09:08:58, staking, bond
17313558-1, 5CG4brJm5RERjHPAnNLEj94RPtNdyVnw2McV8rEG4K6wuCo4, 0x5299268018490b5dc78e8cccfb5cb7e78c223504a18303f8ca5ee2d6d6f83881, 17313558, 1099999.3, 2022-05-30 09:02:01, staking, bond
17310972-1, 5FeUnNPF7NJzL4Esa6BEZzvzKoWkv7BQ69FPLP2r4eCChbR5, 0xf033d84fe166fada03f35c3899ce7880b48a7395c7d634229ede93a4d5179fe3, 17310972, 10100000.0, 2022-05-30 08:18:55, staking, bond
17279775-1, 5HGi6D9xSJBEdUCgHXnUtKswvrsHb8eu71A8x78VFrFmatR8, 0x9fe08631419c057cb187bf4b352a5097f6b8489a9a7c73c6204f9331d31d01d7, 17279775, 100999.9, 2022-05-29 23:38:53, staking, bond
17273732-1, 5ENr5tkBAKvhN9HPgG25xnFF7iSKvTo7GhF7Daax3MC99Ma5, 0x2434bb549b71faadb283449e6ad48041138c3ceb6468d0d75cb319ba00a2279c, 17273732, 200000.0, 2022-05-29 21:58:10, staking, bond
17273678-1, 5Cnxqrn1n7BKkMG6z9BXCUACHpzEUpmDg8PCPiywjWYH9q6A, 0xa88794effd1ee5e46a490f63223351747763c2b6799caac8e219f66cc128b133, 17273678, 15000000.0, 2022-05-29 21:57:16, staking, bond
17267141-1, 5G6L6cKdTpW8eT6qkSch9LRzsN1zE8x8UVDchT94XDtRnCpQ, 0xcd2652738f2088fb5b068b8af8aae8a56304d96450753cbbd6e1d100a1720d00, 17267141, 10162395.8, 2022-05-29 20:08:16, staking, bond
17266652-1, 5HNc253iFdDASHUNWRp9NEPn6Vo1EdWZZjBQwBKimwSJQ7DD, 0x59f5b3a8e50be4163cc82db3aa6629e85ccc6e35e93f95493b1fc2a4c59de7aa, 17266652, 2159997.6, 2022-05-29 20:00:07, staking, bond
17265579-1, 5ECxFK7uUA3wEEbbirkr8JuhPEpzTZE1CcyiUnjG6rTjoyEE, 0xe6c9d0c02e54d9c3a461920c233f87a3a6b059685c874da8090dc06530780597, 17265579, 11310000.0, 2022-05-29 19:42:14, staking, bond
17261369-1, 5CFWh4ZUZHFo3BJmhgDh2sTQ2bmzGy2bBdmYoYwWXzPQHiwy, 0xb1418abbce4e47bbf56168407335a5c97a6f163f605e012cb1cc7d7c74bcacfb, 17261369, 6577885.2, 2022-05-29 18:32:04, staking, bond
17260798-1, 5EUQPzFsp4P1o3Pswia95tuAdGGaUrdr8UXpL6T9ydTnyWVB, 0xea3e1f0a156874ce0b070b4639a33c7b076c6a5b934776f0368c30602e54e9b5, 17260798, 145520.9, 2022-05-29 18:22:33, staking, bond
17257749-1, 5HBk7UKKgs9BZvpyFxKrsM6CXCZg6Gg35x3wFZB3AtKdpTuY, 0x9fc884e99d367e697b74f31b1223740e171f3f7727b831c454132360ab34640c, 17257749, 10000.0, 2022-05-29 17:31:41, staking, bond
17245626-1, 5DcQ6TwxmVqriMuTFkzS1ZGAaQck7WD8tXVQL4KduPkv9Fq5, 0xc4abc77b921907b4f906de06fef2f8745b069fa721d1edc21b8fb9f07370d7d4, 17245626, 99998.9, 2022-05-29 14:09:32, staking, bond
17241607-1, 5CUWeEg95ppMaVjUfpfsPErC4RbUfMAipctxjVmPDPUpeUYr, 0x959342842d9d0f223e09e32c752b1d5e6f0cb7998f00aec08c4665e882d902e9, 17241607, 106599.6, 2022-05-29 13:02:32, staking, bond
17233365-1, 5FjQnTSKSMpGntvaDdnQMosxaJug5ELJHiAZKcyiy5hq5cSh, 0x058765f447eea9795638ef87c050f13e9a9094426b6b4e87090d94faca6dac25, 17233365, 999.9, 2022-05-29 10:45:09, staking, bond
17231638-1, 5F6kB4Tu6VVnPE2SDK6XJDpjdNvT1L9bp4Cc8fCYBm1wPq8b, 0xb726ba7672239b8c7910baa75995c43cbaa65053f137ae6f292c41256c05ed66, 17231638, 1253887.9, 2022-05-29 10:16:22, staking, bond
17231256-1, 5GsV3k88Tcam3xmdNTE53BDg6gxiv8bgyma3S4F6MDw5HyoE, 0x8da3752609a167bbb08ad3396ee0dc3e681957a03c3e89fbc15b965fb5c9a7d1, 17231256, 395000.0, 2022-05-29 10:10:00, staking, bond
17210748-1, 5FYrXXYEmQyv3mbHyP2pnKGaiftCVFBbTZxFhVibfT1YxoGi, 0x54a98d02ae22e5415a9e0236d880ac1e8d2e0dda718485dad0936a8894af8fca, 17210748, 1047107.0, 2022-05-29 04:28:11, staking, bond
17210601-1, 5HEL2VDjoXaZhz5y6GQgcCnQweYHda92xEksEeGSWWidcdsD, 0xbec146351d14ad333e6a77095fa4eb214027af9d526ab1f106db12bfb287b3b6, 17210601, 1000999.9, 2022-05-29 04:25:44, staking, bond
17208798-1, 5G6tNTeBfbtnAhd1rASDdqvCy6RYtMkzcwBiXpkqwBKJKR1i, 0x3ff1d39cda4e82dcf10f18de395405ee3ed2ee89c731c2b57b3cc418b781a05b, 17208798, 999999.9, 2022-05-29 03:55:40, staking, bond
17192463-1, 5CAKMQCJw4unZhcS9QZQ4U1xC5JkaUFiRVHxXBDFQB9SkE5Z, 0x6e2f65192dc4413411b5e61d2b82eb70ae6a5218387ff515392867e1d4d33901, 17192463, 403000.9, 2022-05-28 23:23:24, staking, bond
17178545-1, 5Gx5Fi4fEmdNwqwX5NERUpbfCutU1dCZA4UWJz9MTreSe7ue, 0xacd1303669f24f8dc414bef9a4f33337f19561706fef50590b75ca1b8a0fa605, 17178545, 610000.0, 2022-05-28 19:31:19, staking, bond
17176095-1, 5EnfvXLJsJyA7dP4gsjByxaydAKhQoSfwkjaHXdU4uBuJaig, 0x5ce3181cc5bcd41ede1922608cb52896c2a2cacbf21419a652c81e7860109618, 17176095, 598.6, 2022-05-28 18:50:29, staking, bond
17157029-1, 5Gjxvediw1RFhy1UJm4mMJyra6RaN9vZSEQEY1bC4BspHrmz, 0xcb9e04601f3300eabf98822225ec8b0552878eecf68d1ad562346d42c9a17168, 17157029, 73738.9, 2022-05-28 13:32:43, staking, bond
17144692-1, 5C5eHqeFtuYWuM4z76Xxt16ivUr9procx3wX19Lq91XaQnS8, 0xd6e2f8281712811e4397c1c799bce074b98dabd027eb7ecba8ef860cdf13ea44, 17144692, 1080000.0, 2022-05-28 10:07:03, staking, bond
17139689-1, 5CJKGtwdVQjEGs2HzsJ6ZY3xYkp4gZSvn7RnBMyTk4oiwsNc, 0xc9509961be6dacfd0b30c6f16e12109b759a1b5cb96847da8eb7df98989e3d20, 17139689, 3675000.0, 2022-05-28 08:43:38, staking, bond
17132576-1, 5F4pKwxrVs2mkaZw21DSxmKPHDcvSRTwLnEpUCWDEC5ycaMp, 0x76b93cf95e0987ec9d1e30cd51fcf658e755bf60c901cc6d5efab5d211269b4d, 17132576, 176527.9, 2022-05-28 06:45:05, staking, bond
17131356-1, 5FEUXVcTYGYUh34canFiTKGSB6niW187ATqg4cXSZjiJZ6MJ, 0xef9d8e4272b0b13290bdac19b015d710326796e4c067ece8f3912ae2474a5035, 17131356, 109998.9, 2022-05-28 06:24:45, staking, bond
17127595-1, 5G9BLbXr9fwhZ1knWyynK7a3sx82ojLXJ7C1YPawYUVe8ssa, 0x888fa0681eb01e879462936d44766ae20fd67ce72ba4a30f758360c83bff9912, 17127595, 214618.9, 2022-05-28 05:22:04, staking, bond
17124961-1, 5GLMs8rus5gskkW2GycM34NxCo6YBQSm2nM4imG1L1yYJVrS, 0x89c6a6240de1922e18d6e5dd8197e8e69011e8b97df1da7a17e9cb651c2cd92d, 17124961, 520000.0, 2022-05-28 04:38:10, staking, bond
17124399-1, 5FyByfP9N7qqXsyq9XWcTYGhCeEQ84hCmQ66yW2x1HRRVcxx, 0x1c11ebfaf1db52bf612d0c1e027294bd691de0c852ce1bc7a9cb8b62904e6dbf, 17124399, 2040000.0, 2022-05-28 04:28:48, staking, bond
17123787-1, 5D7qwhLD2aZ72c5mHoEtJYK77Jp2aSf3vYoS9t7pSU9oDQoF, 0x42a9906687b70e2c6e5618b0ebb719b56f0d43101475bc09a2ebb4ef5e42634e, 17123787, 429027.8, 2022-05-28 04:18:36, staking, bond
17112889-1, 5CnnaZ4xvZdBmWuBR8eKdKWi4KxYHANyEEJjDayyWdWkKcBd, 0x9060f1473b1c3a3cd529e39a42e64767cf99643ccd671d59f1d153e0740456eb, 17112889, 283768.5, 2022-05-28 01:16:58, staking, bond
17110353-1, 5G6mWTyLes2vu1BQx9KPftEYmh1QL4aFCSCDaNhswP4RcDf2, 0xb10a90e4ecc3fcc2313bc5773bd985df5d9bcff8d2d50b2bebe030922727873e, 17110353, 617397.6, 2022-05-28 00:34:42, staking, bond
17110226-1, 5EEqAUEvKhgzYpDQBkjMBpN9WJdxMgw3Nw2txXjLcWFk2Pmq, 0xfcf068bb98debf7b4f7a149c77d77f6774ba77a06d3bb9420ff45891adc5edcd, 17110226, 49998.9, 2022-05-28 00:32:35, staking, bond
17107771-1, 5GptseB7z2virV8dHoqRhto6NzDuREnzahzy2L9K7U14QGEr, 0xc90f343803b5970b6091f5d15179ad14fc5fbc136e71082ca772145cb609a3be, 17107771, 2532600.0, 2022-05-27 23:51:40, staking, bond
17105586-1, 5DfVXazGpTMSgebV2YrVaUz3JieoU93P4dTRbECrUq3yPrue, 0x4868ecf224d60a66646982cad6d3cfaae50698b05ad0b983c92b9afc82ef7f62, 17105586, 94627.6, 2022-05-27 23:15:15, staking, bond
17104808-1, 5CwRBTZQ8wVGr1Q5pmL5NPgceADYNbYamiitFeLgQ52rZuW1, 0x1dda521df60fceadad68c57ff71a462932c1fbb7c204ce864af468858a349295, 17104808, 100000.0, 2022-05-27 23:02:16, staking, bond
17097156-1, 5Fgk1vsgNjF48Q6W5abhhKWHjZefRz6UEDa1WpsaYk7JXrmE, 0x1f6ee3a7b3254c2349b2f033bd39eee6699707c3bdb7bc898d49e0fd87afca2c, 17097156, 813000.0, 2022-05-27 20:54:43, staking, bond
17096416-1, 5FsfUCVW6Dgm3NrntUGws4vb6aY5wkkLVKCk2bB14XwGeWX9, 0xfab7c5d0433c3f2bf7cc615262d94ed8f6c8ad200f53bc14ebd9bd4ccf36a8a1, 17096416, 30000.0, 2022-05-27 20:42:23, staking, bond
17094402-1, 5Cr9Kx2Uhz4nMFES9U3BwvL46jVihS2FvJdpRFxWvk6zT5xp, 0xe9d987efea39ccde55a0d66515789d435d0aa84dc459e2b5ca1342982651fd34, 17094402, 2290000.0, 2022-05-27 20:08:49, staking, bond
17091902-1, 5DXEMR8E5pEqgJDh9eNpkwHfvQoUVHGQxRBFCtVtWGotT2xc, 0x7f108bb4b6e4a2c4146831c78e11a4b86927048379843a41a337e4785aa298d5, 17091902, 10299.6, 2022-05-27 19:27:08, staking, bond
17085553-1, 5CrDEYyK46WnmuapiQAYyVivVXqgnHfJ9CxNsxjcU11QTtdC, 0x7d44ddba74bc365374257f41c2f60bcd3b1e3b0ffcbb9b84cbc3b0995dbe7216, 17085553, 1840000.0, 2022-05-27 17:41:19, staking, bond
17078868-1, 5GuZCANmmhTfCfmBA8F3iVn3vdpyL9HG9ugfpjC2ruunLrJa, 0x486ae17eb09767f7b04688342e14ba5780e45b0368ab78e2468b008a1b144e47, 17078868, 84999999.9, 2022-05-27 15:49:50, staking, bond
17075563-1, 5EX7asbmKnMxsTt7Ksb4KPh7JwhbWYrtvzCQg2H8Krx3tBxi, 0xc4415f941ea0b470bd46ded0a0437f280fd48e26dba872babb57812622836a58, 17075563, 582397.9, 2022-05-27 14:54:45, staking, bond
17062505-1, 5HMsc4cjPCQmcsozJu781Wj4d3TccNipfV3MSYEbm8JXD6zW, 0x1a256aa242825e29b7f759722fc753440e1813d9f6384a290bac58f940aceb07, 17062505, 1611286.9, 2022-05-27 11:17:07, staking, bond
17053573-1, 5Fvpnn9yr3YtrEHXGQA7GX52avnkkaKEN2svyF52dc2So2kx, 0x2404892d94c8e7d3276a8ee7abd5cf892011f77a01c1d17c01e19f17eabd4ed6, 17053573, 150000.0, 2022-05-27 08:48:14, staking, bond
17050286-1, 5HQYsFggCpSNMd3N5EXnBAqXBncTDz3suntadhwj7BJGkeJz, 0xdae23eb40cb14a3dde1e4a4297a41471d37184d7e301edb85643ba062271e91d, 17050286, 108787.9, 2022-05-27 07:53:27, staking, bond
17049707-1, 5DPvm49GwV6wvAaPtVMyT5vsP6G5qJKPJLDD3gDEEHGKT2JC, 0xba6b31f4f92b2866804b4dd42fad8d67cffd39265b2973b1e519b54ad3e9aeea, 17049707, 4543999.9, 2022-05-27 07:43:48, staking, bond
17049416-1, 5CtEisrAUkRBmdrPNUY4gUZBWAJrTfdXSrzsFQjkb85piC9p, 0xbd73f8740ee27d8aef1baad02b2a747e6f69c00d568662151d7deb650d0178cd, 17049416, 4999999.9, 2022-05-27 07:38:57, staking, bond
17049199-1, 5HQZWVFGqS41FRqgDy4vhvNCF6hZxX8nNfBmtKBy1dacob1N, 0xd062625804df4acf9e37b6b3268424c5f87c445451d39d9046d1a83e065962bb, 17049199, 4999999.9, 2022-05-27 07:35:20, staking, bond
17048885-1, 5DF4PWJkgnDQ2vWhyqnrvs61hwAta8gvV6LzqqtQpY7ucWui, 0x69d642d60d2c52c0e9356b4d931a79a4387f1814b83230e4ffc6e5bcfefaf449, 17048885, 4999999.9, 2022-05-27 07:30:06, staking, bond
17048512-1, 5CMcrqbYYmfo3WTe2vfFHpQcdu58EEMUzVyziY4cWEpvKZNP, 0x5bf3dd5606633d348d962a24b7c787d31a0e604b3e5d77d4dcab2539ccb10fc4, 17048512, 4999999.9, 2022-05-27 07:23:53, staking, bond
17043980-1, 5FRmtZoJhLmaZJwRkijiVDPHXQoUoMXML7a1mbY3iubLDYAx, 0x3ac45000f336a450df6a73d00255068bc3181f804addab507a77975200d5f8c4, 17043980, 249000.0, 2022-05-27 06:08:19, staking, bond
17039521-1, 5D76ExXkf6zS8YjMWV9hFrS6iurjSuYfwoX8nnFQrfxNRFYV, 0x20b404f9e9700260fb07aa62d1c21cd7cc9f40b70d531cc686f1e4e2341df6cc, 17039521, 111000.0, 2022-05-27 04:53:59, staking, bond
17032912-1, 5GHc6q4xDwubMrUuQPRvkpyqVqStSyfTp9K9xViF2BaerWuh, 0x8bfd761b56003afd56331c5cab21f7df543db0d474c3ed2ad043c695acb9ae01, 17032912, 1001000.0, 2022-05-27 03:03:49, staking, bond
17019256-1, 5Di5imWDGZ56Y1S1JKYeye7fQazdyKGBoRAn2K5khyvB3bdE, 0x389a4283b7fbd28fe855292913539d356d06cb15537cf7c7db478127d3238636, 17019256, 97228.9, 2022-05-26 23:16:11, staking, bond
17014513-1, 5FdvcSq6kKmnDKMcqF6Wdia6WXqvWeQBh73cJvnnrnwbyjvM, 0x3d2eb47d25356cd957091d283dfb1e7e31983cfde2446ad1c344923bf480f2de, 17014513, 5271747.9, 2022-05-26 21:57:06, staking, bond
17011690-1, 5C8SfEpzQQuFT95vTojxHv2eUHomtorVmdqA2oWoPmWatrPv, 0x015403e1072dbe783cd775b6d7ad636882758f866c140d6b9130b7f8748b86ad, 17011690, 980000.0, 2022-05-26 21:10:00, staking, bond
17006990-1, 5H9JWXbcLzXLWjjCPaDT8CCUAeuCTpsHXXf35uLgTu1HTQtV, 0x771e34dba0db1e721d4f90474b37c172c5aa24bcc1c62d67940f624c0b0b6a54, 17006990, 364000.0, 2022-05-26 19:51:40, staking, bond
16996881-2, 5HgFEduezAWa6rurhMwBALVhG4pgT4u6Q9T3bbJo8qCekFRu, 0xb0ee65c41ea8d133e2c17bf408445a7e2c85087d736fdbb770a76d6cd14df3be, 16996881, 175000.0, 2022-05-26 17:03:10, staking, bond
16993347-1, 5Eo8N6hdpSg7ifUEDmyRgVTXSaRwoTWG9j2tLbPtSrUUcs7W, 0x7bef02d22bc4ad1b6a133d10a28cc542a0072b9acf082af2fd12d388f44a132d, 16993347, 4270000.0, 2022-05-26 16:04:16, staking, bond
16993327-1, 5C7MhHxdLyY6sj2XwqgBNh35bBh9rEDqDtbErLSu8Ne5tTib, 0x8f1d0a267ed3d5c3b27ea5cfd58f59ca33cf1fd796131c939122ca622f0f1798, 16993327, 17258000.0, 2022-05-26 16:03:56, staking, bond
16978828-1, 5CSi1gZtxvdNW98PrsVkKWGPFkx8QiAjxxCwEqiHvHSGHope, 0xd237dba66d410ad41a9394ec38f7333bfe6244632ee6c287af2b9e33a1c8cac3, 16978828, 103000.0, 2022-05-26 12:02:17, staking, bond
16971424-1, 5EUA8QHT5s1FVQMpjCyQDbfBpfk2VYF58yrywFyzayroUWoS, 0x6cc1458017aa49cbcec516d98add8079a82d64c493c1c8164f9cd6ca6da65a49, 16971424, 120848.6, 2022-05-26 09:58:52, staking, bond
16959215-1, 5CnxpwK2A4aXTo2PMfcBjn5aMSxgT5oeX5LdwBTbfRbkTymz, 0x13e9e40f62825544b230f699c2e017407e958b3c57a75c95d9f22a923b4a02ea, 16959215, 250000.0, 2022-05-26 06:35:18, staking, bond
16957225-1, 5Ec8dodVj2Qz7hAt4bLmf7fWk4AyQeKirh2LfManLjUUMFYi, 0x172b826b0662eeb88605ac062726204eeab0fe8eac4e240dcdb50e3fc8e6db35, 16957225, 322391.2, 2022-05-26 06:02:08, staking, bond
16950610-1, 5FeVvsGTJhwygytc8daiKEHy4eygCxrPXq5MLZdiEvVvpUVf, 0x685787cce68a13b3a630d5cfcc9b040e5edc3bfad69773b730120f521931dfd0, 16950610, 28493999.9, 2022-05-26 04:11:52, staking, bond
16945675-1, 5H5suuQxEzjhgcxxxKRDHEgCe91LwQvjHydhUvZULFFNcU4L, 0x51a725839afed2c22064278518fc503d2ac21378e6f2daaa8fa4f01548fcafcc, 16945675, 1000000.0, 2022-05-26 02:49:33, staking, bond
16941719-1, 5CckGgA393WH1SCLCGjsWgqHE88UReaKHQ6XCPWemreGAe5k, 0x730d425661572ad9f6cfa9096dc0da4aab24fd1a338da35157071b0946b92978, 16941719, 94906.8, 2022-05-26 01:43:37, staking, bond
16929762-1, 5DUcd3uDuusryFk7Ri3jG3YfUMZEcW3X1Cp6STrmu7dkYZua, 0x47810a596bdc6d19c7601f83fe617b5f31095f4ea7de90c02694cee245e61586, 16929762, 251048.9, 2022-05-25 22:24:20, staking, bond
16921214-1, 5HgJgDwuJJk6Z9f3sUokWFUT8YUv7h8wninFnSYTjuu6aoav, 0xc334382e00c6be976e268fb37b0c824f51f50e2af3795f990d58333febe9df9a, 16921214, 174816.4, 2022-05-25 20:01:47, staking, bond
16918922-1, 5EZRrmywWA3xBD3fNFJwdBspYLP9mht8GT7s79mZzae9Tqav, 0x3907b2ac46a983b240cb7660773fb1a6aa357060501b6f5bb2f08b42c5864893, 16918922, 807999.9, 2022-05-25 19:23:35, staking, bond
